,ByAppointmentOnly,BusinessAcceptsBitcoin,BusinessAcceptsCreditCards,RestaurantsDelivery,RestaurantsGoodForGroups,HasTV,BikeParking,OutdoorSeating,RestaurantsTakeOut,RestaurantsTableService,Caters,RestaurantsReservations,GoodForKids,stars,city,state,address,name,postal_code,attributes,categories,GoodForMeal,BusinessParking,RestaurantsPriceRange2,Ambience,AcceptsInsurance,Alcohol_u'beer_and_wine',Alcohol_u'full_bar',NoiseLevel_u'average',NoiseLevel_u'loud',RestaurantsAttire_'casual',RestaurantsAttire_u'casual',WiFi_u'no'
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,NA,Phoenix,AZ,2818 E Camino Acequia Drive,Arizona Biltmore Golf Club,85016,{'GoodForKids': 'False'},"Golf, Active Life",0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0
1,0.5,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,NA,Mississauga,ON,30 Eglinton Avenue W,Emerald Chinese Restaurant,L5R 3E7,"{'RestaurantsReservations': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'True', 'NoiseLevel': ""u'loud'"", 'RestaurantsTableService': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'False', 'BikeParking': 'False', 'Ambience': ""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'HasTV': 'False', 'WiFi': ""u'no'"", 'GoodForKids': 'True', 'Alcohol': ""u'full_bar'"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsDelivery': 'False'}","Specialty Food, Restaurants, Dim Sum, Imported Food, Food, Chinese, Ethnic Food, Seafood","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",2.0,"{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}",0.5,0,1,0,1,0,1,1
2,0.5,0.5,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,NA,Charlotte,NC,"10110 Johnston Rd, Ste 15",Musashi Japanese Restaurant,28210,"{'GoodForKids': 'True', 'NoiseLevel': ""u'average'"", 'RestaurantsDelivery': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Alcohol': ""u'beer_and_wine'"", 'Caters': 'False', 'WiFi': ""u'no'"", 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTableService': 'True', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'False', 'HasTV': 'True', 'BikeParking': 'True', 'RestaurantsReservations': 'True', 'RestaurantsPriceRange2': '2', 'RestaurantsAttire': ""'casual'""}","Sushi Bars, Restaurants, Japanese","{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}","{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",2.0,"{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}",0.5,1,0,1,0,1,0,1
3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,Goodyear,AZ,"15655 W Roosevelt St, Ste 237",Farmers Insurance - Paul Lorenz,85338,0.5,"Insurance, Financial Services",0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0
4,1.0,0.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,Charlotte,NC,"4209 Stuart Andrew Blvd, Ste F",Queen City Plumbing,28217,"{'BusinessAcceptsBitcoin': 'False', 'ByAppointmentOnly': 'True', 'BusinessAcceptsCreditCards': 'True'}","Plumbing, Shopping, Local Services, Home Services, Kitchen & Bath, Home & Garden, Water Heater Installation/Repair",0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0
5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,Mississauga,ON,"Credit Valley Town Plaza, F2 - 6045 Creditview Rd",The UPS Store,L5V 0B1,"{'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsPriceRange2': '2'}","Shipping Centers, Couriers & Delivery Services, Local Services, Printing Services",0.5,"{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}",2.0,0.5,0.5,0,0,0,0,0,0,0
6,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,Calgary,AB,20 Douglas Woods Drive Southeast,Edgeworxx Studio,T2Z 1K4,"{'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'ByAppointmentOnly': 'True'}","Beauty & Spas, Hair Salons",0.5,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",2.0,0.5,0.5,0,0,0,0,0,0,0
7,0.0,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,1.0,NA,Las Vegas,NV,"4545 E Tropicana Rd Ste 8, Tropicana",Supercuts,89121,"{'RestaurantsPriceRange2': '3', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False', 'BikeParking': 'False'}","Hair Salons, Hair Stylists, Barbers, Men's Hair Salons, Cosmetics & Beauty Supply, Shopping, Beauty & Spas",0.5,0.5,3.0,0.5,0.5,0,0,0,0,0,0,0
8,1.0,0.5,1.0,0.5,0.5,0.5,0.0,0.5,0.5,0.5,0.5,0.5,0.5,NA,Glendale,AZ,5940 W Union Hills Dr,Vita Bella Fine Day Spa,85308,"{'RestaurantsPriceRange2': '2', 'ByAppointmentOnly': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'BusinessAcceptsCreditCards': 'True', 'BikeParking': 'False'}","Nail Salons, Beauty & Spas, Day Spas",0.5,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",2.0,0.5,0.5,0,0,0,0,0,0,0
9,0.0,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA,Fairview Park,OH,21689 Lorain Rd,Options Salon & Spa,44126,"{'ByAppointmentOnly': 'False', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'AcceptsInsurance': 'False'}","Beauty & Spas, Nail Salons, Day Spas, Massage",0.5,"{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}",2.0,0.5,0.0,0,0,0,0,0,0,0
